name,category,commitment,serving,calories,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrate,fiber,sugar,protein,ratio_fat,ratio_carb,ratio_protein
pomegranate,fruit,3,28,23,0,0,0,1,5,1,4,0,12,81,7
tangerine,fruit,3,28,11,0.06,0.008,0,0,2.67,0.4,2.12,0.16,5,90,5
raisin,fruit,3,28,86,0.13,0.043,0,3,2.54,1.1,16.78,0.96,1,95,4
dried fruit,fruit,3,28,69,0.12,0.017,0,5,18.37,2.1,13.51,0.62,1,95,4
coconut meat,nut,1,28,99,9,8,0,6,4,3,2,1,79,18,3
raw almond,nut,1,28,164,14.36,1.1,0,0,5.6,3.3,1.36,6.23,73,14,13
raw brazil nut,nut,1,28,186,18.83,4.291,0,1,3.48,2.1,0.66,4.06,85,7,8
cashew,nut,1,28,157,12.43,2.206,0,3,8.56,0.9,1.68,5.17,66,22,12
hazelnut,nut,1,28,178,17.22,1.266,0,0,4.73,2.7,1.23,4.24,81,11,8
macadamia nut,nut,1,28,204,21.48,3.419,0,1,3.92,2.4,1.3,2.24,88,8,4
pecan,nut,1,28,196,20.4,1.752,0,0,3.93,2.4,1.13,2.6,87,8,5
pine nut,nut,1,28,191,19.38,1.389,0,1,3.71,1,1.02,3.88,85,7,8
pistachio,nut,1,28,158,12.6,1.542,0,0,7.93,2.9,2.17,5.84,67,20,13
walnut,nut,1,28,185,18.49,1.737,0,1,3.89,1.9,0.74,4.32,84,8,8
chestnut,nut,2,28,56,0.35,0.067,0,1,12.52,0,0,0.46,5,92,3
green bean,nut,2,28,9,0.03,0.007,0,2,2.02,1,0.4,0.52,3,77,20
garbanzo bean,nut,3,28,108,1.79,0.186,0,146,17.99,5.2,3.17,5.72,15,65,20
pea,nut,3,28,23,0.11,0.02,0,1,4.1,1.4,1.61,1.54,4,73,23
peanut,nut,3,28,161,13.96,1.937,0,5,4.57,2.4,1.13,7.31,73,12,15
dried bean,nut,3,28,131,5.89,0.749,0,136,14.61,4.8,0.2,5.56,40,44,16
lentil,nut,3,28,100,0.3,0.044,0,2,17.03,8.6,0.58,7.31,3,68,29
brown rice,grain,2,28,104,0.85,0.17,0,286,21.64,1.7,0.33,2.43,7,83,10
black rice,grain,2,28,90,0.8,0,0,0,19.2,1.1,0.6,2.8,8,81,11
wild rice,grain,2,28,29,0.1,0.014,0,1,6.05,0.5,0.21,1.13,3,83,14
white rice,grain,2,28,112,0.24,0.066,0,318,24.27,0.3,0.04,2.31,2,89,9
organic quinoa,grain,2,28,112,1.98,0,0,3.3,19.8,1.98,0.66,3.3,16,72,12
oats,grain,2,28,110,1.96,0.345,0,1,18.79,3,0,4.79,15,70,15
organic corn,grain,3,28,24,0.33,0.052,0,4,5.39,0.8,0.91,0.91,11,76,13
organic wheat,grain,3,28,96,0.53,0.091,0,1,20.57,3.5,0.12,3.88,5,81,14
organic grass-fed butter,dairy,1,14,100,12,8,30,0,0,0,0,0,100,0,0
organic grass-fed ghee,dairy,1,14,120,14,9,35,0,0,0,0,0,100,0,0
grass-fed butter,dairy,1,14,100,12,8,30,0,0,0,0,0,100,0,0
grass-fed ghee,dairy,1,14,120,14,9,35,0,0,0,0,0,100,0,0
grass-fed full-fat raw organic milk,dairy,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grass-fed full-fat raw organic cream,dairy,1,0,0,0,0,0,0,0,0,0,0,0,0,0
grass-fed full-fat raw organic yogurt,dairy,1,227,140,8,5,35,110,10,0,7,8,50,28,22
grain-fed non-organic raw milk,dairy,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Grain-fed butter,dairy,2,14,100,11,7,30,0,0,0,0,0,100,0,0
grain-fed ghee,dairy,2,15,135,15,9,24,0,0,0,0,0,100,0,0
organic pasteurized milk,dairy,2,240,150,8,5,30,120,12,0,11,8,47,32,21
Non-organic pasteurized milk,dairy,2,28,18,0.99,0.569,3,12,4.38,0,1.6,0.98,49,30,21
skim milk,dairy,3,0,0,0,0,0,0,0,0,0,0,0,0,0
lowfat milk,dairy,3,28,13,0.3,0.193,2,13,1.52,0,1.59,1.03,21,47,32
apple cider vinegar,spice,1,7,0,0,0,0,0,0,0,0,0,0,0,100
sea salt,spice,1,7,0,0,0,0,6976,0,0,0,0,0,0,100
ginger,spice,1,7,19,0.32,0.105,0,2,3.82,0.7,0.18,0.49,14,78,8
cilantro,spice,1,28,7,0.15,0.004,0,13,1.04,0.8,0.25,0.6,17,53,30
parsley,spice,1,7,1,0.03,0.005,0,2,0.24,0.1,0.03,0.11,18,63,19
oregano,spice,1,28,87,2.91,0.754,0,4,18.27,12.1,1.16,3.12,28,63,9
turmeric,spice,1,7,24,1,0,0,3,4,1,0,1,23,70,7
rosemary,spice,1,7,2,0.1,0.048,0,0,0.35,0.2,0,0.06,37,56,7
thyme,spice,1,28,29,0.48,0.132,0,3,6.93,4,0,1.58,14,73,13
cinnamon,spice,1,7,18,0.22,0.044,0,2,5.43,3.7,0.15,0.26,10,87,3
All-spice,spice,1,7,16,0.52,0.153,0,5,4.33,1.3,0,0.37,28,64,8
garlic,spice,2,7,5,0,0,0,0,1,0,0,0,0,100,0
black pepper,spice,2,7,16,0.21,0.063,0,3,4.15,1.7,0.04,0.7,11,81,8
tamari,spice,3,18,10,0,0,0,940,1,0,0,2,0,33,67
miso,spice,3,28,56,1.7,0.323,0,1057,7.5,1.5,1.76,3.31,25,54,21
nutmeg,spice,3,28,149,10.29,7.354,0,5,13.97,5.9,8.08,1.66,58,38,4
table salt,spice,3,18,0,0,0,0,6976,0,0,0,0,0,0,100
